playerId,playerName,deviceId,soccerFieldId,raw_time,epoch_time,session,latitude,longitude,altitude,satellite,pdop,speed,heading,accX,accY,accZ,rotX,rotY,rotZ,pitch,roll,temp,step,crc,cnt,synced
,,,,1776019844.70017385482788086,12.04.2026 18:50:44.700,1,48.24014282,16.33688927,220.17999268,30,0.88999999,0.00900000,229.51681519,506,6,-8670,-53,110,37,-178.02209473,-10.35822296,-448,3354,7800,43551,0
,,,,1776019845.20017361640930176,12.04.2026 18:50:45.200,1,48.24014282,16.33688927,220.21299744,31,0.88999999,0.01500000,229.51681519,348,72,-8820,-37,-60,216,-178.05876160,-8.72757530,-416,3354,13568,43552,0
,,,,1776019845.70017337799072266,12.04.2026 18:50:45.700,1,48.24014282,16.33688927,220.18499756,30,0.88999999,0.02800000,229.51681519,356,-74,-8722,-63,-158,251,-178.17228699,-7.43418074,-448,3354,23261,43553,0
,,,,1776019846.20017313957214355,12.04.2026 18:50:46.200,1,48.24014282,16.33689117,220.14100647,31,0.88999999,0.02100000,229.51681519,634,1626,-9002,-373,4415,500,-138.17443848,-6.46252537,-464,3354,3009,43554,0
,,,,1776019846.70017290115356445,12.04.2026 18:50:46.700,1,48.24014282,16.33688927,220.26100159,30,0.88999999,0.46300000,332.09075928,6322,-870,-4726,-3729,3219,2113,-104.38720703,-12.05195141,-432,3356,2460,43555,0
,,,,1776019847.20017266273498535,12.04.2026 18:50:47.200,1,48.24014282,16.33688736,220.28700256,30,0.88999999,0.47200000,270.48141479,6450,1666,-5400,-4310,1037,-223,-100.15142059,-39.74473953,-464,3358,2471,43556,0
,,,,1776019847.70017242431640625,12.04.2026 18:50:47.700,1,48.24014282,16.33688354,220.14199829,31,0.86000001,0.66200000,269.86273193,7944,1960,-3230,-291,-57,1454,-102.11360931,-51.31770706,-432,3359,11350,43557,0
,,,,1776019848.20017218589782715,12.04.2026 18:50:48.200,1,48.24014282,16.33687592,220.00900269,31,0.86000001,0.79200000,294.62973022,7404,-340,-1636,-2204,-580,-538,-98.52798462,-49.52149200,-416,3359,11251,43558,0
,,,,1776019848.70017194747924805,12.04.2026 18:50:48.700,1,48.24014282,16.33687019,219.81300354,31,0.86000001,1.31799996,280.15295410,6846,1654,-1706,-1853,-1434,1491,-104.18908691,-65.20259094,-464,3360,54549,43559,0
,,,,1776019849.20017170906066895,12.04.2026 18:50:49.200,1,48.24014282,16.33686447,219.72700500,29,0.92000002,1.11099994,298.51483154,6154,-926,-2306,1343,231,-1730,-103.80287933,-41.00959015,-416,3361,11238,43560,0
,,,,1776019849.70017147064208984,12.04.2026 18:50:49.700,1,48.24014664,16.33685684,219.58799744,29,0.92000002,1.26400006,282.31130981,7240,1726,-2170,506,-179,771,-101.74406433,-28.90143394,-432,3362,50333,43561,0
,,,,1776019850.20017123222351074,12.04.2026 18:50:50.200,1,48.24014664,16.33684731,219.52400208,30,0.92000002,1.12000000,291.77395630,9384,-10,-3310,3105,359,-1216,-98.60698700,-1.79161525,-448,3363,15464,43562,0
,,,,1776019850.70017099380493164,12.04.2026 18:50:50.700,1,48.24014664,16.33684158,219.48399353,31,0.92000002,0.97399998,286.72100830,8194,1232,-4006,-1710,-620,-585,-102.36304474,1.85697627,-432,3364,9387,43563,0
,,,,1776019851.20017099380493164,12.04.2026 18:50:51.200,1,48.24015045,16.33683586,219.41499329,30,0.94999999,1.13399994,279.44888306,8968,2296,-4092,1491,1280,326,-102.69831085,1.84893227,-464,3364,49239,43564,0
,,,,1776019851.70017075538635254,12.04.2026 18:50:51.700,1,48.24015045,16.33682823,219.33399963,28,0.99000001,1.07299995,292.63354492,7424,-266,-2100,-760,-661,-713,-105.91938782,3.21525216,-432,3365,13531,43565,0
,,,,1776019852.20017051696777344,12.04.2026 18:50:52.200,1,48.24015045,16.33682251,219.22200012,31,0.97000003,1.04100001,279.32321167,7090,1276,-1776,1074,-422,234,-104.87222290,4.84731007,-448,3366,32839,43566,0
,,,,1776019852.70017027854919434,12.04.2026 18:50:52.700,1,48.24015045,16.33681679,219.14399719,28,1.10000002,1.08899999,281.41928101,7448,222,-2442,1532,-81,-1876,-101.90966797,16.24424744,-464,3367,56615,43567,0
,,,,1776019853.30016994476318359,12.04.2026 18:50:53.300,1,48.24015045,16.33680916,219.10400391,29,1.04999995,1.06099999,265.31497192,6518,1436,-3092,-1624,-63,564,-102.79985809,11.78642273,-432,3368,64391,43568,0
,,,,1776019853.70016980171203613,12.04.2026 18:50:53.700,1,48.24015045,16.33680534,219.13900757,28,1.03999996,0.90200001,264.11798096,6984,2466,-3104,3214,1069,-50,-107.21186066,11.71767426,-416,3368,15408,43569,0
,,,,1776019854.20016956329345703,12.04.2026 18:50:54.200,1,48.24015045,16.33679771,219.07499695,29,1.08000004,1.05599999,277.57858276,6818,438,-1838,-15,-1174,-136,-105.64047241,20.86505890,-416,3369,8978,43570,0
,,,,1776019854.70016932487487793,12.04.2026 18:50:54.700,1,48.24015045,16.33679199,219.06199646,30,1.02999997,1.10899997,263.52215576,6492,1468,-2004,-79,-1030,641,-106.96930695,13.77917004,-448,3370,35668,43571,0
,,,,1776019855.20016908645629883,12.04.2026 18:50:55.200,1,48.24015045,16.33678436,219.03199768,29,1.09000003,1.17400002,272.26156616,6838,404,-2042,316,-239,-1457,-105.73300171,12.15079594,-432,3371,45544,43572,0
,,,,1776019855.80016875267028809,12.04.2026 18:50:55.800,1,48.24015045,16.33677483,218.96000671,29,1.04999995,1.16799998,261.40167236,6726,1590,-2736,-12,229,1308,-108.29933167,8.20330906,-432,3372,18754,43573,0
,,,,1776019856.20016860961914062,12.04.2026 18:50:56.200,1,48.24015045,16.33676910,218.91900635,28,1.04999995,1.01100004,272.85595703,9340,326,-3108,874,976,-395,-105.64053345,15.47042370,-448,3373,56577,43574,0
,,,,1776019856.70016837120056152,12.04.2026 18:50:56.700,1,48.24015045,16.33676147,218.92799377,29,1.04999995,1.00899994,267.31155396,7572,1952,-4454,-628,232,-1877,-110.00852203,9.62783337,-416,3374,34017,43575,0
,,,,1776019857.30016827583312988,12.04.2026 18:50:57.300,1,48.24015045,16.33675194,218.83999634,28,1.10000002,1.21500003,265.70996094,12428,3488,-4020,971,3069,-156,-107.23386383,17.22576523,-432,3375,55634,43576,0
,,,,1776019857.70016789436340332,12.04.2026 18:50:57.700,1,48.24015045,16.33674812,218.84500122,28,1.10000002,1.27400005,267.40887451,9186,1458,-2264,-364,-316,-308,-105.30018616,21.33117294,-432,3376,55667,43577,0
,,,,1776019858.30016779899597168,12.04.2026 18:50:58.300,1,48.24014664,16.33673668,218.73899841,28,1.23000002,1.09200001,257.35598755,7098,2790,-2198,783,-520,407,-105.09531403,22.18808556,-448,3376,7115,43578,0
,,,,1776019858.70016741752624512,12.04.2026 18:50:58.700,1,48.24014664,16.33673096,218.74499512,27,1.20000005,1.22300005,270.46551514,6734,-120,-1932,433,-372,-9,-104.58872986,36.04507446,-416,3377,60306,43579,0
,,,,1776019859.20016741752624512,12.04.2026 18:50:59.200,1,48.24014282,16.33672523,218.77699280,28,1.08000004,1.08399999,248.92602539,6872,2068,-1862,-2186,200,1576,-106.16469574,9.88351536,-416,3378,40010,43580,0
,,,,1776019859.80016708374023438,12.04.2026 18:50:59.800,1,48.24014282,16.33671761,218.72799683,25,1.20000005,1.06500006,271.84826660,7048,-162,-2580,-389,-911,-706,-106.64815521,7.17607212,-448,3379,59371,43581,0
