playerId,deviceId,soccerFieldId,epoch_time,session,latitude,longitude,altitude,satellite,pdop,speed,heading,accX,accY,accZ,rotX,rotY,rotZ,pitch,roll,temp,step,crc,cnt,synced
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-6958,-9856,13360,18024,-9955,-9260,7.657263279,13.17278767,-4960,36,53933,43570,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,1198,-9426,-3406,3149,-2191,-14248,-12.40749741,0.8296669722,-4896,38,21852,43571,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,6718,-764,-4878,5719,3335,580,-7.949720383,10.08642006,-4944,40,50237,43572,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,6436,-864,-1444,-144,-8163,5719,-0.04831671715,-4.729637623,-4880,42,15548,43573,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7420,3248,-692,4068,-13292,-2213,-14.06762314,40.67621231,-4896,44,13657,43574,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,8710,474,2380,-2893,3294,-2679,8.817135811,73.25952911,-4880,45,58846,43575,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,6382,2154,-3670,1771,1520,-5694,-49.43609619,27.78868866,-4848,45,26771,43576,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,5780,4090,-2890,1295,-97,2046,-66.72583771,26.95998001,-4864,45,35461,43577,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,4466,8612,-5326,-1786,-2521,2655,-106.0283432,13.65014267,-5120,46,42749,43578,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,2760,12208,-12140,2392,2722,14900,-134.9394836,35.87872314,-5120,46,24068,43579,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,1036,1386,-17122,2505,-3601,11688,-156.5275421,4.779342651,-5120,48,61659,43580,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,9956,-5048,-50,31164,-14938,11918,-127.3423767,65.87023926,-4848,50,49013,43581,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,2462,-4610,-4398,-4645,-8787,442,-165.6137238,43.01041031,-4832,51,61137,43582,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-5216,-2352,3834,-32768,14742,18846,-92.17048645,75.93948364,-4848,51,27814,43583,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-8364,3140,894,15536,-4627,-821,-46.66913223,38.24956894,-4800,51,21431,43584,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-7458,2098,-332,-25934,-10602,-4252,-36.29520798,-15.38737583,-4848,52,9277,43521,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-10514,2082,-13644,-32768,23897,-9671,-10.90880203,-50.01137543,-4816,53,20348,43522,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-1910,478,-408,10866,6267,-8097,3.014763832,-29.33890152,-4816,55,42967,43523,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-12574,894,676,-1640,32767,-9709,33.09994507,38.08657455,-4816,56,53428,43524,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-8688,526,-996,-4109,6718,3085,28.42168427,37.23096466,-4800,56,49588,43525,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-8040,-5778,-10264,-32768,-32768,32767,43.06208801,28.52841949,-4768,57,2533,43526,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-14184,766,-2018,-239,-13932,5054,73.39375305,13.90607643,-4784,59,28347,43527,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-9494,-1154,3800,21445,32767,-3823,117.2711182,27.07777596,-4784,60,5848,43528,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,8184,1918,626,-1007,2249,-601,124.0205154,1.171804786,-4784,62,22328,43529,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,9358,-210,-464,-7869,2923,-3752,107.0618896,-3.156767607,-4736,64,2176,43530,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,6164,-1414,-2640,1038,-1271,805,67.14220428,-1.914285898,-4784,66,49453,43531,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7116,-640,-5080,15741,62,-1644,-0.4556183815,22.65893745,-4736,67,18540,43532,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,6454,-1972,-4772,4069,3054,-1352,-33.34663391,22.10339546,-4736,68,30244,43533,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,5170,-1666,-1378,-1740,-9385,-3242,-66.59113312,14.39670277,-4752,69,38902,43534,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-5378,6380,-11728,1749,-925,-451,-85.22547913,-7.710705757,-4736,69,21901,43535,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,158,-1660,-8672,1172,4112,-2277,-21.69436646,14.79057312,-4752,70,13521,43536,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,5788,2170,-5004,-1430,4766,1708,-2.239166498,-3.718878746,-4736,72,54408,43537,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7382,530,-3892,378,335,634,-10.8995018,-8.36387825,-4720,74,36116,43538,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7888,-870,-2488,-1106,1432,264,-22.60057259,-6.839807034,-4752,75,53473,43539,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7760,-796,-2880,501,-221,-513,-37.66883469,-3.706852436,-4672,75,9865,43540,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,8184,524,-3412,-682,-103,-1628,-50.96715546,-12.42120361,-4704,76,30000,43541,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7432,510,-3444,-328,8,249,-65.02738953,-9.544827461,-4720,76,31919,43542,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,8960,-1396,-2056,-1071,147,143,-72.62088013,-13.54226875,-4720,76,49792,43543,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7732,-54,-3384,386,346,-1813,-81.18734741,-12.81500435,-4720,76,6276,43544,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7376,520,-3392,-585,-59,467,-86.48145294,-13.97870636,-4704,76,4925,43545,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7888,12,-3000,-906,68,636,-90.06452179,-17.33002663,-4656,76,15259,43546,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,8066,-376,-2936,-1297,-429,163,-94.41873932,-19.88112259,-4672,76,65022,43547,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7944,230,-3156,6224,-693,-2440,-103.2584381,-10.51338577,-4656,76,12532,43548,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7302,764,-3618,-7997,315,1195,-108.9984665,-16.62476349,-4640,76,5987,43549,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7516,1754,-2846,4216,109,-1613,-107.5234604,-26.25499535,-4864,76,20909,43550,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7600,696,-3402,338,927,-101,-106.3397675,-4.021996975,-4672,76,11889,43551,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7592,462,-2914,-3044,1037,1336,-100.8610992,0.5121249557,-4640,76,15339,43552,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,8542,-472,-2098,1650,-438,-30,-100.3186646,-10.89796543,-4640,76,45399,43553,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,6788,-284,-3584,-417,-2061,72,-111.2061462,6.136219025,-4640,76,1004,43554,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,9070,730,-1652,2406,3040,-1996,-106.0402222,-4.417757988,-4864,78,59165,43555,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,10326,-1016,-5822,-3306,2213,4234,-106.6596069,-0.1298251599,-4368,79,5916,43556,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7318,-388,-3412,-168,-80,-603,-105.2018204,-6.726841927,-4864,80,38163,43557,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7858,-552,-3750,-633,945,64,-109.8987885,-3.848303795,-4368,80,24682,43558,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7314,658,-2222,-82,-515,463,-112.6912384,-9.218894958,-4640,80,58516,43559,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7288,-2146,-3634,466,-19,27,-113.398941,0.5995232463,-4624,80,38941,43560,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7118,-1440,-4018,-2121,-165,380,-116.4490662,-10.89804077,-4576,80,14621,43561,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,6696,-484,-3236,-1726,-2274,2188,-120.1555557,-20.96939659,-4592,80,16699,43562,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-404,-6240,-8346,1128,-4057,1544,-161.7681885,-7.106931686,-4592,81,28833,43563,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-978,-5842,-7862,-708,1966,-2055,-103.516571,-13.8943224,-4608,81,19987,43564,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,5424,-260,-5264,-150,5509,-3101,-68.87670135,-29.51163101,-4576,82,6977,43565,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,8142,114,-2946,899,1032,-1556,-57.94104767,-18.27376556,-4576,84,43301,43566,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7998,220,-2906,-252,83,102,-65.46697235,-12.22583103,-4576,85,41756,43567,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7830,132,-3020,40,120,53,-73.78308105,-11.31529713,-4608,85,42927,43568,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7934,48,-2820,-419,-23,38,-79.68766022,-10.78189564,-4544,85,59765,43569,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7980,182,-2912,-134,16,-79,-85.12530518,-10.33924007,-4544,85,23571,43570,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7928,156,-2870,-303,-53,-62,-89.78635406,-9.673072815,-4544,85,23069,43571,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7880,232,-2840,-117,-60,-63,-93.64600372,-8.885181427,-4560,85,1488,43572,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7914,178,-2806,-302,25,-8,-96.42485809,-8.829110146,-4560,85,31256,43573,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7882,232,-2826,-326,-41,-10,-99.23790741,-8.833805084,-4544,85,36942,43574,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7900,142,-2982,-206,-80,16,-101.6040573,-8.655215263,-4576,85,44122,43575,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7922,88,-3050,-251,-2,-32,-103.6415405,-8.829381943,-4512,85,59887,43576,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7922,154,-2886,-186,81,-25,-104.6047821,-8.394342422,-4544,85,29403,43577,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7952,156,-2870,-162,-35,-41,-105.4168396,-7.840416431,-4528,85,55198,43578,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,8018,122,-2862,-209,-254,-75,-106.7511597,-7.345000267,-4528,85,33486,43579,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,6748,1632,-4538,1081,-2916,-270,-123.3055725,-6.022808552,-4496,85,29185,43580,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,3060,-1616,-7204,2830,-5685,-790,-158.9472351,9.026098251,-4528,85,55587,43581,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-1886,-4676,-9032,-850,-937,281,-146.3844299,15.15049553,-4496,85,40742,43582,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,2066,-522,-7404,-1993,6740,901,-89.04244995,-10.74099636,-4496,86,30443,43583,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,4906,428,-6918,-1217,1612,-611,-82.99616241,-18.07501221,-4464,88,39817,43584,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,6394,2636,-5506,1197,917,-593,-83.43145752,-14.31071281,-4480,90,50391,43521,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7508,146,-4796,1474,-42,2235,-83.66943359,0.9637003541,-4512,91,12176,43522,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7102,-260,-5258,-430,-111,-481,-91.59793091,6.204617977,-4480,91,15841,43523,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7690,-736,-4114,-251,198,521,-95.78609467,0.6331973076,-4448,91,38169,43524,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,6490,-896,-4968,-2382,347,1176,-102.4544144,-12.47979641,-4480,91,56098,43525,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,6750,340,-5232,-193,418,-651,-106.6537018,-17.61808968,-4464,91,573,43526,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7236,636,-4584,61,161,-242,-106.4898224,-14.27016735,-4480,91,13142,43527,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7038,592,-4774,-504,-412,152,-110.9822769,-11.58683586,-4448,91,64900,43528,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,6920,500,-5068,22,-198,-212,-114.8742828,-7.179776669,-4480,91,23883,43529,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,6932,396,-4770,-389,341,190,-115.5111694,-7.792564392,-4448,91,64715,43530,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,6806,222,-4772,24,-128,-272,-117.005928,-8.218014717,-4448,91,19673,43531,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7108,258,-4578,565,314,434,-116.5272293,-0.3288528025,-4416,91,57604,43532,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,6988,-306,-4634,-363,-116,-120,-115.8665085,-1.756966949,-4416,91,28188,43533,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7260,1626,-4090,369,-2578,750,-123.0522842,-4.480763912,-4416,91,12082,43534,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,72,706,-10030,639,-3404,-974,-168.411026,-2.855633974,-4432,91,49573,43535,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,1284,1266,-7844,-2021,1341,399,-162.9378357,-8.12338829,-4400,91,42669,43536,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,1666,56,-8312,-1015,-111,450,-163.4356384,-7.846545696,-4432,91,21246,43537,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,1434,1438,-8444,419,-187,-696,-164.5420532,-8.112413406,-4432,91,40620,43538,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,1034,3968,-8758,-1630,-1211,-267,-169.7793732,-17.35803413,-4416,91,1058,43539,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,1072,3260,-6808,4414,-976,-797,-167.8369446,-0.7290154099,-4400,91,10934,43540,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,680,1184,-8728,1907,2422,1576,-121.2106323,5.850782394,-4416,91,14034,43541,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,1732,-750,-8420,628,1320,1006,-123.4157715,13.17834473,-4400,92,11457,43542,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,2660,-2434,-7342,273,359,-5,-127.2869415,17.63650894,-4416,93,54597,43543,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,3056,-1904,-7284,-3206,487,1107,-129.4707184,6.053575993,-4368,93,41956,43544,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,3624,-2190,-7194,-1493,4626,-119,-122.295433,-3.834795952,-4400,93,62971,43545,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7890,-914,-3034,-1962,2434,-655,-92.37756348,-17.88824654,-4368,95,25800,43546,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7692,1100,-2502,-387,207,340,-90.73029327,-20.04684067,-4400,97,58890,43547,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7862,-618,-2334,2216,-426,278,-91.26339722,-5.637300014,-4608,98,44797,43548,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7386,-1364,-3286,909,-627,-505,-100.0899734,5.559049129,-4384,98,3924,43549,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,7626,-1338,-3388,-209,-559,-220,-105.7821121,-1.056827307,-4368,98,4278,43550,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,6476,-890,-5092,997,-2189,-1007,-119.1478882,-3.189302683,-4608,98,239,43551,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,1244,-1282,-8418,2716,-6112,1198,-157.951355,10.88735294,-4304,98,27792,43552,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,342,-2516,-8298,-2564,-3,-1748,-173.9886475,0.9112325907,-4112,98,59220,43553,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-446,-3348,-8366,328,-2740,-1293,-171.5260315,2.881222963,-4112,98,8832,43554,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-810,256,-7684,113,-233,-1899,-110.6128845,-11.97046947,-4320,98,21500,43555,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-1086,-2256,-8186,778,272,-689,-79.69560242,-12.61823559,-4336,98,31999,43556,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-806,-1444,-8292,-898,-321,-46,-33.85704803,-14.57123566,-4320,98,10241,43557,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-1206,-1460,-8368,-302,230,-646,2.879393339,-15.28535748,-4336,98,50984,43558,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-2384,1176,-8904,-260,84,-244,29.05385208,-20.22252274,-4304,98,52098,43559,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-638,-802,-7906,-441,-202,-148,56.24876404,-16.11642647,-4336,98,30069,43560,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-988,-772,-8420,-861,-234,165,77.9453125,-11.30831623,-4304,98,53231,43561,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-1372,-1298,-8366,1813,-268,-1947,94.07608032,-6.722409725,-4320,98,58131,43562,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-2744,-638,-7172,-458,-2695,2070,95.94197845,-12.57386303,-4304,98,37263,43563,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-5546,1274,-7658,-1869,-675,1193,92.39222717,-16.08592987,-4304,98,46707,43564,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-5590,-640,-7724,-1033,-102,294,101.0405502,-6.064886093,-4304,98,14947,43565,0
